uri,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated
https://shakespeareandco.princeton.edu/books/bashford-behind-fog/,Behind the Fog,"Bashford, H. H.",,,,,,1927,Book,False,,,,1,1,0,1927,2020-06-20T21:16:22+00:00
https://shakespeareandco.princeton.edu/books/ludwig-bismarck-trilogy-fighter/,Bismarck: The Trilogy of a Fighter,"Ludwig, Emil",,,,,,1927,Book,False,https://archive.org/details/dli.ernet.12215,,,1,1,0,1928,2021-04-16T01:11:05+00:00
https://shakespeareandco.princeton.edu/books/le-queux-blackmailed/,Blackmailed,"Le Queux, William",,,,,,1927,Book,False,,,,2,2,0,1927,2020-04-30T19:40:19+00:00
https://shakespeareandco.princeton.edu/books/aiken-blue-voyage/,Blue Voyage,"Aiken, Conrad",,,,,,1927,Book,False,,,,2,2,0,1928;1929,2020-04-30T19:40:18+00:00
https://shakespeareandco.princeton.edu/books/loos-gentlemen-marry-brunettes/,But Gentlemen Marry Brunettes,"Loos, Anita",,,,,,1927,Book,False,,,,3,2,0,1928;1938;1931,2020-06-29T16:35:16+00:00
https://shakespeareandco.princeton.edu/books/dell-request/,By Request,"Dell, Ethel M.",,,,,,1927,Book,False,,,,1,1,0,1927,2020-04-30T19:40:21+00:00
https://shakespeareandco.princeton.edu/books/diapea-cannibal-jack-true/,Cannibal Jack: The True Autobiography of a White Man in the South Seas,"Diapea, William",,,,,,1927,Book,False,,,,1,1,0,1929,2020-04-30T19:40:19+00:00
https://shakespeareandco.princeton.edu/books/moore-celibate-lives/,Celibate Lives,"Moore, George",,,,,,1927,Book,False,,,,4,4,0,1928;1929;1937;1936,2020-04-30T19:40:20+00:00
https://shakespeareandco.princeton.edu/books/dreiser-chains-lesser-novels/,Chains: Lesser Novels and Stories,"Dreiser, Theodore",,,,,,1927,Book,False,,,,6,6,0,1938;1939;1927,2020-04-30T19:40:16+00:00
https://shakespeareandco.princeton.edu/books/tang-china-revolt/,China in Revolt,"T'ang, Leang-Li",,,,,,1927,Book,False,,,,1,1,0,1927,2020-04-30T19:40:20+00:00
https://shakespeareandco.princeton.edu/books/pavlov-conditioned-reflexes-investigation/,Conditioned Reflexes: An Investigation of the Physiological Activity of the Cerebral Cortex,"Pavlov, Ivan",,"Anrep, G. V.",,,,1927,Book,False,,,,1,1,0,1931,2020-06-28T19:56:54+00:00
https://shakespeareandco.princeton.edu/books/baring-daphne-adeane/,Daphne Adeane,"Baring, Maurice",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.208958,,,11,10,0,1927;1929;1933;1935;1937;1941,2021-05-02T01:27:20+00:00
https://shakespeareandco.princeton.edu/books/cather-death-comes-archbishop/,Death Comes for the Archbishop,"Cather, Willa",,,,,,1927,Book,False,https://archive.org/details/deathcomesforarc00cath_3/page/n3/mode/2up,,,10,10,0,1927;1928;1932;1936;1937;1940;1941,2021-05-02T02:00:44+00:00
https://shakespeareandco.princeton.edu/books/gorky-decadence/,Decadence,"Gorky, Maxim",,,,,,1927,Book,False,,,,2,2,0,1927,2020-07-17T14:31:15+00:00
https://shakespeareandco.princeton.edu/books/de-quincey-quincey-selections/,De Quincey: Selections,"de Quincey, Thomas","Ridley, M. R.",,,,,1927,Book,False,,,,1,1,0,1944,2020-05-26T12:46:46+00:00
https://shakespeareandco.princeton.edu/books/mckenna-due-reckoning-third/,Due Reckoning: Being the Third and Last Part of the Realists,"McKenna, Stephen",,,,,,1927,Book,False,,,,4,4,0,1929;1932;1927,2020-04-30T19:40:20+00:00
https://shakespeareandco.princeton.edu/books/lehmann-dusty-answer/,Dusty Answer,"Lehmann, Rosamond",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.475659/page/n5/mode/2up,,,21,21,0,1928;1929;1930;1933;1936;1938;1939;1940;1941,2020-06-08T17:02:48+00:00
https://shakespeareandco.princeton.edu/books/hirst-early-life-letters/,Early Life and Letters of John Morley,"Hirst, Francis Wrigley",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.184249,Vol. 1;Vol. 2,,2,2,0,1937,2021-05-25T01:37:14+00:00
https://shakespeareandco.princeton.edu/books/katzin-eight-european-plays/,Eight European Plays,,"Katzin, Winifred","Clark, Barrett H.;Katzin, Winifred","Clark, Barrett H.",,,1927,Book,False,,,,2,2,0,1929;1935,2021-07-26T19:24:51+00:00
https://shakespeareandco.princeton.edu/books/lewis-elmer-gantry/,Elmer Gantry,"Lewis, Sinclair",,,,,,1927,Book,False,https://archive.org/details/in.ernet.dli.2015.206302/page/n5/mode/2up,,,13,13,0,1928;1930;1934;1927,2020-06-08T16:28:47+00:00
https://shakespeareandco.princeton.edu/books/brooks-emerson-others/,Emerson and Others,"Brooks, Van Wyck",,,,,,1927,Book,False,,,,2,2,0,1928;1935,2020-05-25T12:44:35+00:00
